sep=,
DeviceTag:,2
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2025-07-11_20:06:00_088 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
276,2273589088,-104.310532,-13.855006,29.239189,0.235908,0.518464,-1.901613,0
277,2273605755,-104.350365,-13.659299,29.226927,0.186497,0.539058,-1.365726,0
278,2273622422,-104.274689,-13.531271,29.229485,0.508045,0.482985,-1.338672,0
279,2273639089,-104.149094,-13.479829,29.236225,0.288906,0.536928,-1.915238,0
280,2273655756,-104.045914,-13.466490,29.252110,0.409935,0.592020,-1.913640,0
281,2273672423,-103.945801,-13.551920,29.248425,0.675967,0.835797,-2.197354,0
282,2273689090,-103.878105,-13.798364,29.258638,0.603440,0.653830,-2.038801,0
283,2273705757,-103.843124,-14.196841,29.280428,0.683327,0.588389,-2.353126,0
284,2273722424,-103.808594,-14.692524,29.302465,0.646509,0.395150,-1.530300,0
285,2273739091,-103.777359,-15.241846,29.340837,0.589134,0.587978,-2.080153,0
286,2273755758,-103.875801,-15.873787,29.379025,0.819295,0.919409,-2.202843,0
287,2273772425,-103.862915,-16.682741,29.414511,1.473853,1.552361,-3.052204,0
288,2273789092,-103.883728,-17.837173,29.483362,2.988950,2.371760,-4.713098,0
289,2273805759,-104.273247,-19.436337,29.596918,3.712691,2.719198,-3.668371,0
290,2273822426,-104.624046,-21.352598,29.788580,2.431271,1.709069,-2.113719,0
291,2273839093,-104.832130,-23.365694,29.995975,2.620344,1.891418,-2.932013,0
292,2273855760,-105.385979,-25.495007,30.189928,3.818201,2.748343,-2.745035,0
293,2273872427,-106.309052,-27.846882,30.434528,4.171893,3.182206,-1.403265,0
